club,division_key,school,rooms,schedule_team,game_count
Aurskog Finstadbru,J2008,ELVERUM UNGDOMSSKOLE,B102,AFSK,4
Bjørkelangen,J2013,FRYDENLUND,C126,Bjørkelangen/Høland,4
Borgen IL,J2011,FRYDENLUND,D123,Borgen,6
Drøbak/Frogn,G2013,FRYDENLUND,C123,Drøbak/Frogn Blå,4
Furnes,G2014,FRYDENLUND,C125,Furnes 2,16
Furnes,J2015,FRYDENLUND,C128,Furnes 2,16
Gjøvik HK,G2012,FRYDENLUND,"B117,B118",Gjøvik HK,15
Gjøvik HK,J2013,FRYDENLUND,"B120,B121",Gjøvik HK,15
HK Vestre Toten,J2013,ELVIS,C110,HK Vestre Toten 2,8
HK Vestre Toten,J2014,ELVIS,C111,HK Vestre Toten 2,16
HK Vestre Toten,J2015,ELVIS,C110,HK Vestre Toten,8
Hasle/Løren,G2012,ELVERUM UNGDOMSSKOLE,B104,Hasle-Løren Rød,20
Hasle/Løren,G2013,ELVERUM UNGDOMSSKOLE,B105,Hasle-Løren Blå,20
Hasle/Løren,G2014,ELVERUM UNGDOMSSKOLE,B106,Hasle-Løren Blå,20
Hasle/Løren,G2015,ELVERUM UNGDOMSSKOLE,"B205,B206",Hasle-Løren Gul,16
Hasle/Løren,J2011,ELVERUM UNGDOMSSKOLE,"B203,B204",Hasle-Løren,5
Hasle/Løren,J2012,ELVERUM UNGDOMSSKOLE,"E106,E108,E206",Hasle-Løren Blå,20
Hasle/Løren,J2013,ELVERUM UNGDOMSSKOLE,B207,Hasle-Løren Blå,20
Hasle/Løren,J2014,ELVERUM UNGDOMSSKOLE,B201,Hasle-Løren Blå,20
Heradsbygda HK,G2012,ELVIS,C220,Heradsbygda,8
Heradsbygda HK,J2012,ELVIS,"C226,C227",Heradsbygda,16
Jardar IL,J2008,YDALIR,1.065,Jardar/Asker,5
Jotun,G2012,ELVIS,B136,Jotun,8
Jotun,J2012,ELVIS,B137,Jotun,12
Kolbu IL,G2012,YDALIR,2.039,Kolbu KK,4
Koppang,J2012,YDALIR,"1.080,1.084",Koppang,4
Lensbygda,G2015,YDALIR,2.073,Lensbygda,18
Lensbygda,J2012,YDALIR,2.062,Lensbygda,18
Lensbygda,J2015,YDALIR,2.043,Lensbygda,18
Lervik,J2008,YDALIR,1.085,Lervik,4
Lisleby,J2014,FRYDENLUND,D128,Lisleby Blå,8
Ottestad,G2012,YDALIR,2.060,Ottestad,16
Ring IL,G2013,ELVERUM UNGDOMSSKOLE,B306,Ring IL,21
Ring IL,G2015,ELVERUM UNGDOMSSKOLE,B303,Ring IL,21
Ring IL,J2010,ELVERUM UNGDOMSSKOLE,B305,Ring IL,21
Ring IL,J2012,ELVERUM UNGDOMSSKOLE,B304,Ring IL,21
Røros,G2014,ELVERUM UNGDOMSSKOLE,A002,Røros,32
Røros,G2015,ELVERUM UNGDOMSSKOLE,A104,Røros,20
Røros,J2011,ELVERUM UNGDOMSSKOLE,A004,Røros,20
Røros,J2013,ELVERUM UNGDOMSSKOLE,A101,Røros,20
Røros,J2015,ELVERUM UNGDOMSSKOLE,A103,Røros,20
Skarnes,G2015,ELVERUM UNGDOMSSKOLE,B307,Skarnes,8
Skarnes,J2015,ELVERUM UNGDOMSSKOLE,B309,Skarnes 2,12
Skjetten,J2008,YDALIR,1.072,Skjetten,5
Storhamar,J2012,ELVERUM UNGDOMSSKOLE,B301,Storhamar 2,8
Sverresborg,G2012,ELVIS,C126,Sverresborg 2,46
Sverresborg,G2014,ELVIS,C119,Sverresborg,25
Sverresborg,J2011,ELVIS,C120,Sverresborg,25
Sverresborg,J2012,ELVIS,B138,Sverresborg,25
Sverresborg,J2013,ELVIS,C127,Sverresborg 2,46
Sverresborg,J2014,ELVIS,"C111,C210",Sverresborg 2,46
Trysil,G2014,YDALIR,2.051,Trysil,13
Trysil,J2011,YDALIR,2.049,Trysil,13
Trysil,J2014,YDALIR,2.076,Trysil IL,4
Tune IL,J2013,ELVERUM UNGDOMSSKOLE,A012,Tune Rød,8
Tydal,J2013,FRYDENLUND,D124,Tydal 2,8
Utleira,J2010,ELVIS,E163,Utleira,13
Utleira,J2011,ELVIS,E162,Utleira 2,20
Varde IL,J2012,ELVERUM UNGDOMSSKOLE,"A011,grupperom i A",Varde 2,18
Årdalstangen,J2011,ELVIS,B120,Årdalstangen,5
